深圳,深圳市阿卡索资讯股份有限公司,2000人以上,大专,java开发工程师,11k-15k,1-3年
北京,深圳市有传科技有限公司,150-500人,本科,java高级工程师,25k-35k,5-10年
长沙,威富通科技有限公司,500-2000人,本科,Java工程师（长沙）,10k-20k,3-5年
成都,中电金信软件有限公司,2000人以上,本科,java开发工程师,13k-22k,3-5年
北京,北京金鸿睿信息科技有限公司,50-150人,大专,java开发工程师,13k-18k,3-5年
武汉,武汉天耀宏图科技有限公司,150-500人,本科,java研发工程师,8k-13k,3-5年
深圳,深圳市点证科技有限公司,50-150人,大专,JAVA开发工程师,12k-19k,3-5年
上海,柏美迪康环境科技（上海）股份有限公司,150-500人,本科,java开发工程师,21k-30k,不限
上海,上海意臣信息科技有限公司,150-500人,本科,java后端开发工程师,11k-15k,3-5年
深圳,上海阜极科技有限公司,150-500人,大专,Java开发工程师,12k-18k,1-3年
杭州,圆通速递有限公司,2000人以上,本科,java高级工程师,17k-25k,3-5年
广州,广州云徙科技有限公司,500-2000人,本科,Java开发工程师（产品研发中心） (MJ000256),18k-30k,5-10年
深圳,大展信息科技（深圳）有限公司,150-500人,大专,java开发工程师,15k-18k,3-5年
上海,支付宝（杭州）信息技术有限公司,2000人以上,本科,支付宝JAVA开发工程师/专家/高级专家-资金业务上海杭州,30k-60k,3-5年
北京,北京快乐茄信息技术有限公司,150-500人,本科,高级java开发工程师,25k-45k,3-5年
